"","id","Nominated","NominationSum","Strength","Betweenness","Eigenvector","Age","Sex","Fellowship","StartPractice35","Race","Q1","Q2","Q3","Q4","Q5"
"66",66,0,16,-0.458750362281353,-1.18017582049306,-0.765196886458163,8,1,1,0,"Asian",0,0,0,1,1
"67",67,1,6,-0.766226361549385,1.41801970040526,-0.95845783025794,6,1,0,1,"Others",1,1,1,1,1
"68",68,1,9,-1.88984697616328,1.03065429023712,-0.0480048650585506,3,0,0,1,"White",1,0,1,1,1
"69",69,0,14,0.766814396071045,-1.50278461533643,1.38409714719561,10,1,0,0,"White",0,1,1,1,1
"70",70,0,13,-1.43337228649299,-0.607999142899612,-1.65545371811896,16,0,0,0,"White",1,0,1,1,1
"71",71,1,5,0.483202950555942,-0.970948460203315,0.270335703650482,10,1,0,0,"White",1,1,0,1,1
"72",72,0,11,1.61981358074242,-0.132849415977485,-0.586318930401703,7,0,0,0,"White",1,1,1,1,1
"73",73,0,13,1.54126350304023,0.184633542325001,1.4281506084806,15,1,1,1,"Asian",1,1,1,0,1
"74",74,1,11,-1.90435729968485,0.922065733251605,-0.906553545110284,14,1,0,0,"White",1,1,0,0,1
"75",75,0,11,0.855079494442365,-0.137051621455147,-0.0562841740944671,6,1,0,0,"Others",1,0,1,1,1
"76",76,0,10,-0.220358835523167,0.185695191004554,-0.813228036211258,16,0,0,0,"Asian",1,0,1,1,1
"77",77,0,8,0.0591219666977973,-0.76413732842167,1.138318765993,6,1,0,0,"Asian",1,0,0,1,1
"78",78,0,14,0.498675464991509,-0.0144467360971805,-1.37129746482281,8,0,0,0,"Others",1,1,1,1,1
"79",79,0,10,0.446253088322054,0.0206470074629063,-0.898830685463762,4,0,0,0,"Asian",1,0,1,1,1
"80",80,1,19,0.499624859943159,0.982200716811899,0.702487501492234,14,0,0,0,"White",1,1,1,1,1
"81",81,0,13,-1.43207007626505,-1.15043123538771,0.659147351168683,11,0,1,1,"Asian",0,1,1,1,1
"82",82,0,12,-0.422123353058699,1.03920726790455,-0.835896581475518,8,1,0,0,"Asian",0,1,1,1,0
"83",83,0,10,0.123241970475163,0.35759689644498,0.568300216390161,14,1,1,0,"Asian",0,0,1,1,1
"84",84,1,16,-1.53399042705592,0.572808069643917,-0.688655316132587,18,1,0,0,"Asian",0,1,1,0,1
"85",85,0,12,-0.930597297049506,-0.343606460290049,-0.704721701822257,13,1,0,0,"White",1,0,1,0,1
"86",86,1,10,0.59548404052284,1.33509390869272,-1.31924663958507,12,1,0,0,"White",0,1,1,1,1
"87",87,1,9,1.98832860939554,0.526889400472449,0.603941736447002,13,1,0,0,"White",1,0,1,1,1
"88",88,0,7,-0.650922137260835,-1.61952367901756,-0.346153001541229,12,1,0,0,"White",1,0,1,0,1
"89",89,0,15,-0.671119130492374,-0.933109382539642,-0.837922790805697,9,1,0,1,"Asian",1,1,1,1,1
"90",90,1,14,-0.720709091898399,0.371415340276563,-0.14637861425444,7,1,0,0,"White",1,1,1,1,1
"91",91,0,10,0.49528155794822,1.37116672152888,-0.0482530324770956,13,1,0,1,"White",1,1,1,1,1
"92",92,1,15,-1.23204929495914,0.640498787551902,-1.1145567100818,14,0,0,0,"Asian",1,0,1,1,1
"93",93,0,14,-0.432537387695207,1.27186985659346,1.76281795845915,12,1,1,0,"Asian",1,1,1,1,1
"94",94,0,5,-0.381909173688467,0.5794950759941,1.17788377995885,8,1,0,1,"Asian",0,0,1,1,1
"95",95,0,7,1.1747639469953,-1.65810352254052,0.350846647359585,13,0,0,1,"White",1,1,1,1,1
"96",96,1,10,-1.33906091175055,0.445956839364371,-0.949288500684671,8,1,0,0,"Others",1,1,0,1,1
"97",97,0,13,0.241888739818755,0.694078638927771,-0.356880757257252,10,1,0,0,"White",1,0,1,1,1
"98",98,1,14,-1.11891461923151,-0.794409403738218,-0.929642520196618,16,0,0,0,"Others",1,1,1,1,1
"99",99,0,11,-1.96020320373658,0.791384671783196,-0.979115946519546,7,1,0,0,"Asian",1,0,1,0,1
"100",100,0,11,0.156265945220071,1.85467506093313,-0.251481645008624,6,0,0,0,"Asian",1,0,1,1,0
"101",101,1,9,0.445023912747174,0.25405997295674,0.0375501295800584,10,0,0,1,"White",1,0,1,1,1
"102",102,0,12,0.487234303751556,-0.208370712551402,0.503019434064933,9,0,1,0,"Others",0,1,1,0,1
"103",103,0,6,-0.330246708006683,-0.50549871934981,0.786886049385711,6,1,0,0,"Others",1,1,1,1,1
"104",104,0,10,1.46672220501024,0.654671950375485,-0.464595767430102,10,0,0,0,"White",1,0,0,1,1
"105",105,0,10,-0.810242812437532,-0.336207086708379,-1.22003092698552,13,0,0,0,"White",1,1,0,0,1
"106",106,0,10,-0.241965304351038,1.91556102104647,-0.625851418870711,8,1,0,0,"Asian",1,1,1,1,1
"107",107,0,10,1.0281385539941,-0.335561311758917,0.692005520717479,14,0,1,1,"Asian",1,1,1,1,1
"108",108,0,9,0.633536401390573,0.742599139467928,2.05817263742632,12,1,0,0,"Asian",1,0,1,1,1
"109",109,0,17,0.879704948907389,0.156495429729726,1.33162638152989,13,1,0,0,"Others",1,1,1,1,1
"110",110,0,10,0.010567270727136,-2.29911311230866,-0.510684674393983,7,0,0,1,"Asian",1,1,1,1,1
"111",111,1,8,-1.45359941557523,0.0618886697299989,0.834105808672339,8,0,0,1,"White",1,1,1,0,1
"112",112,0,7,-0.695548359765803,-2.16814350611688,0.318941637998971,9,1,0,0,"White",1,1,1,1,1
"113",113,0,14,-0.56923438090036,-0.267060350975539,0.964395957712529,12,1,0,1,"White",1,1,1,1,1
"114",114,1,13,-0.919407203351541,1.08788650573247,-0.15064788575721,11,1,0,0,"Asian",1,1,0,1,1
"115",115,0,16,0.948805690174359,0.917335746867801,-0.679328160150191,14,0,0,0,"White",1,1,1,1,1
"116",116,0,10,-0.0373509761075877,0.408671801223395,1.47815229180536,16,0,0,0,"White",1,1,1,1,1
"117",117,0,14,0.0971394467709511,0.525875497079225,0.389326669962532,10,0,0,0,"Asian",1,0,1,1,1
"118",118,0,11,0.785390031399528,-1.39459248716692,-1.53139321197291,13,1,1,0,"Others",1,1,1,1,1
"119",119,0,11,0.00713639634155402,-0.971226805676425,1.6934429296254,14,1,0,0,"Asian",1,0,1,1,1
"120",120,0,7,-0.179119132561733,0.0616033839859891,0.826016156403821,8,0,0,0,"Asian",1,0,1,1,1
"121",121,0,6,-0.0789863499529253,-0.296925323758705,-0.404456545964323,16,1,1,0,"White",1,1,1,1,1
"122",122,0,4,0.214782724380831,0.800987901896075,-0.446444430512602,9,0,0,1,"White",1,0,1,0,1
"123",123,0,21,-1.43003521431868,0.315991455418989,-0.111887682562976,16,1,0,0,"Others",1,1,1,1,1
"124",124,0,9,-0.485136662614312,0.143093578832251,-0.968467839528814,7,1,0,0,"White",1,0,1,1,1
"125",125,0,12,-0.774184881330525,0.363245288830988,-0.166232405016201,11,0,0,0,"Asian",1,0,1,0,1
"126",126,0,7,1.73120358228448,-0.391839101530131,0.262110473272391,13,1,0,0,"Asian",1,0,1,1,1
"127",127,0,13,0.123784550455469,-2.2227355563475,-0.462456030849351,11,0,1,0,"White",1,0,1,1,0
"128",128,1,19,0.633377917120309,-1.81835067521829,0.35997652138665,10,0,0,0,"White",0,1,1,1,1
"129",129,1,8,-0.794653329424866,-0.918723052917395,-0.722502007856097,5,1,0,0,"White",1,1,1,0,1
"130",130,0,12,-0.957878741938606,1.882353317654,-0.113009644277378,16,1,0,0,"White",1,1,1,1,1
"131",131,0,9,-0.961478919022476,-0.0120637556533181,-0.174809775948019,12,1,0,1,"White",1,1,1,1,1
"132",132,0,11,0.131565897351662,0.409727048133653,-0.263214010169313,10,0,0,0,"White",1,0,1,1,1
"133",133,0,15,0.265292254436834,-0.277421070864638,0.669238814624085,18,1,0,1,"Asian",1,1,1,0,1
"134",134,0,9,0.785417399449245,0.127142047535719,0.965566416566768,13,1,1,0,"White",1,1,1,0,1
"135",135,0,11,-0.404174119146266,-1.98846537898858,-0.598884977818646,10,0,0,1,"White",1,1,1,1,1
"136",136,0,12,0.426617686611939,-1.08935311968398,-1.98198653753337,14,1,0,1,"Others",0,1,1,1,1
"137",137,0,13,-0.737389672409493,0.102547802190464,-0.650769423676504,10,1,0,0,"Others",1,0,1,1,1
"138",138,0,15,-0.219187984437731,0.47092948057523,-0.574994634449094,8,1,0,1,"Asian",1,1,1,0,1
"139",139,0,14,1.69758267195035,-0.080571825898578,-0.39764004520924,7,0,1,0,"White",1,1,1,1,1
"140",140,0,11,0.964975454381607,-0.864201460116049,-0.314852223313102,13,0,0,1,"Others",1,1,1,0,1
"141",141,0,6,-1.21980855869404,0.376425638763027,0.856410903427585,17,0,0,0,"White",1,1,1,1,0
"142",142,0,12,-1.15319432460736,0.513698063960574,-2.22103772610786,10,1,0,0,"Others",1,0,0,1,1
"143",143,1,7,1.13781699056373,-1.26238522058377,-0.256290022381807,10,1,0,0,"White",1,1,0,1,1
"144",144,0,8,-0.516796967258019,-1.13737451922046,0.480329189499587,8,1,0,0,"Others",0,1,1,1,1
"145",145,1,9,-0.618470642265823,2.86800712279176,0.100147308127962,11,1,1,0,"White",1,1,1,1,1
"146",146,0,7,0.414699301545082,2.26651325489711,-0.896820057467716,14,1,0,0,"White",1,0,1,1,1
"147",147,0,5,-1.02599246056357,-0.318872286723124,-0.628848783396458,12,1,0,1,"White",1,0,0,1,1
"148",148,0,15,2.30463821879806,-1.09997095785828,1.3221007091644,7,1,0,0,"Asian",1,1,1,1,1
"149",149,0,8,0.686776647010815,-0.103341888601478,0.145413045261844,14,1,0,0,"Asian",1,0,1,0,1
"150",150,0,8,0.324095553494935,1.42120669704813,1.5720147894083,7,0,0,0,"Others",0,0,1,0,1
"151",151,0,16,-1.55176227744169,0.0276414197475261,2.13857305311885,10,1,0,0,"White",1,1,0,0,1
"152",152,0,12,-2.38821397073814,0.853866803164997,-1.25449906170355,10,1,0,0,"White",1,1,0,1,1
"153",153,0,8,-0.512433070163666,-0.840916368600844,0.323406203443298,15,1,0,1,"White",1,0,1,1,1
"154",154,1,9,-0.634005160352372,1.70424993887032,-0.0417466858039999,4,0,0,0,"Asian",1,0,0,0,1
"155",155,1,11,-1.13675859361461,-0.732488837123728,-0.399906897351674,6,0,0,0,"Others",1,0,1,0,1
"156",156,0,11,-0.269460546619161,0.940503038463033,-0.186158320443807,11,1,0,0,"Asian",1,1,1,1,1
"157",157,0,17,-1.63144213903816,-1.037281698979,1.81377211166166,11,1,0,1,"White",1,1,1,0,1
"158",158,0,6,-1.00770186255769,-3.0767904189256,0.161082869958538,7,0,0,0,"White",1,0,1,0,1
"159",159,0,13,-1.63134702850851,0.562558561164805,-0.668217457872155,10,1,0,0,"White",1,0,1,1,1
"160",160,0,11,0.183129337044766,-0.32156767970763,0.782462630753544,10,1,0,0,"White",1,0,1,0,1
"161",161,0,16,0.762794898197921,-0.179885296833764,-1.58350681142304,14,1,0,1,"Asian",0,0,0,1,1
"162",162,0,11,0.304119728093473,0.970117204943736,-1.2375825607435,10,1,0,0,"Asian",1,0,1,1,1
"163",163,0,10,-1.11817293780131,-0.780585894989583,0.867703923807778,6,0,0,1,"Asian",1,1,1,1,1
"164",164,0,10,0.78061014508229,-0.682295538944718,-0.541594945930214,17,1,0,0,"White",1,1,1,1,1
"165",165,0,12,-0.970417563022163,-0.325327624905038,-0.736956895954028,7,0,0,0,"Others",0,1,1,1,1
"166",166,0,6,0.397853467356241,0.496864095729201,1.52483678106645,13,1,1,0,"Asian",1,1,1,1,1
"167",167,0,6,-0.591718531807505,-0.596810503484446,0.397307275135634,7,1,0,0,"White",1,0,1,1,1
"168",168,0,17,-0.717004010828513,0.259578883271633,-1.12778243511593,14,1,0,0,"White",0,0,1,1,1
"169",169,0,9,2.4357785844855,-1.97492383065056,-0.642651848841151,9,0,0,0,"White",1,1,1,1,1
"170",170,0,4,0.682442489393205,1.0363140795942,1.87135637849138,10,1,0,1,"Asian",1,1,1,1,1
